Gene,Group,detail,Batch,PCR#,FC
hPGLU,siControl,siALDH2,B2,2nd,0.124428522
hPGLU,si6001,100nM,B2,2nd,0.049224861
hPGLU,si6001,100nM,B2,2nd,0.146420501
hPGLU,si6012,100nM,B2,2nd,0.041270498
hPGLU,si6012,100nM,B2,2nd,0.120935092
hPGLU,si6190,100nM,B2,2nd,0.039726796
hPGLU,siControl,siLuc,B1,2nd,0.100684793
hPGLU,si6012,10nM,B1,2nd,0.039453159
hPGLU,si6012,100nM,B1,2nd,0.009132523
hPGLU,si6190,10nM,B1,2nd,0.034082737
hPGLU,si6190,100nM,B1,2nd,0.062866043
hPGLU,si6001,100nM,B1,2nd,0.048893945
KRT7,siControl,siALDH2,B2,2nd,0.002626752
KRT7,si6001,100nM,B2,2nd,0.001594529
KRT7,si6001,100nM,B2,2nd,0.002384923
KRT7,si6012,100nM,B2,2nd,0.000703821
KRT7,si6012,100nM,B2,2nd,
KRT7,si6190,100nM,B2,2nd,0.000595783
KRT7,siControl,siLuc,B1,2nd,0.075772427
KRT7,si6012,10nM,B1,2nd,0.106463634
KRT7,si6012,100nM,B1,2nd,0.104171181
KRT7,si6190,10nM,B1,2nd,0.223114687
KRT7,si6190,100nM,B1,2nd,0.062538683
KRT7,si6001,100nM,B1,2nd,0.1693238
KRT19,siControl,siALDH2,B2,2nd,0.088555727
KRT19,si6001,100nM,B2,2nd,0.067890714
KRT19,si6001,100nM,B2,2nd,0.049097925
KRT19,si6012,100nM,B2,2nd,0.026286213
KRT19,si6012,100nM,B2,2nd,0.131408646
KRT19,si6190,100nM,B2,2nd,0.018385699
KRT19,siControl,siLuc,B1,2nd,0.062702108
KRT19,si6012,10nM,B1,2nd,0.043760097
KRT19,si6012,100nM,B1,2nd,0.016731284
KRT19,si6190,10nM,B1,2nd,0.027283247
KRT19,si6190,100nM,B1,2nd,0.046425158
KRT19,si6001,100nM,B1,2nd,0.046243225
JAG1,siControl,siALDH2,B2,2nd,0.007926642
JAG1,si6001,100nM,B2,2nd,0.013257678
JAG1,si6001,100nM,B2,2nd,0.004148242
JAG1,si6012,100nM,B2,2nd,0.005082766
JAG1,si6012,100nM,B2,2nd,
JAG1,si6190,100nM,B2,2nd,0.005483755
JAG1,siControl,siLuc,B1,2nd,0.010462528
JAG1,si6012,10nM,B1,2nd,0.009066118
JAG1,si6012,100nM,B1,2nd,0.006053082
JAG1,si6190,10nM,B1,2nd,0.013767655
JAG1,si6190,100nM,B1,2nd,0.010846142
JAG1,si6001,100nM,B1,2nd,0.016997559
HES1,siControl,siALDH2,B2,2nd,0.085919836
HES1,si6001,100nM,B2,2nd,0.086792538
HES1,si6001,100nM,B2,2nd,0.120773876
HES1,si6012,100nM,B2,2nd,0.053595775
HES1,si6012,100nM,B2,2nd,0.125241843
HES1,si6190,100nM,B2,2nd,0.032235328
HES1,siControl,siLuc,B1,2nd,0.078043545
HES1,si6012,10nM,B1,2nd,0.072376835
HES1,si6012,100nM,B1,2nd,0.067838585
HES1,si6190,10nM,B1,2nd,0.061188333
HES1,si6190,100nM,B1,2nd,0.05747141
HES1,si6001,100nM,B1,2nd,0.112980151
GGT1,siControl,siALDH2,B2,2nd,0.029637563
GGT1,si6001,100nM,B2,2nd,0.031181699
GGT1,si6001,100nM,B2,2nd,0.022847281
GGT1,si6012,100nM,B2,2nd,0.020437621
GGT1,si6012,100nM,B2,2nd,0.12659526
GGT1,si6190,100nM,B2,2nd,0.015200859
GGT1,siControl,siLuc,B1,2nd,0.144146756
GGT1,si6012,10nM,B1,2nd,0.114364089
GGT1,si6012,100nM,B1,2nd,0.092604764
GGT1,si6190,10nM,B1,2nd,0.070829507
GGT1,si6190,100nM,B1,2nd,0.093900612
GGT1,si6001,100nM,B1,2nd,0.204889681
CFTR,siControl,siALDH2,B2,2nd,0.008779903
CFTR,si6001,100nM,B2,2nd,0.003162414
CFTR,si6001,100nM,B2,2nd,0.009290582
CFTR,si6012,100nM,B2,2nd,0.001769895
CFTR,si6012,100nM,B2,2nd,
CFTR,si6190,100nM,B2,2nd,0.00202184
CFTR,siControl,siLuc,B1,2nd,0.353877464
CFTR,si6012,10nM,B1,2nd,0.224614338
CFTR,si6012,100nM,B1,2nd,0.062373292
CFTR,si6190,10nM,B1,2nd,0.093653519
CFTR,si6190,100nM,B1,2nd,0.199224139
CFTR,si6001,100nM,B1,2nd,0.243872836
hPGLU,siControl,siALDH2,B2,1st,0.141203338
hPGLU,si6001,100nM,B2,1st,0.048710966
hPGLU,si6001,100nM,B2,1st,0.039939552
hPGLU,si6012,100nM,B2,1st,0.028841132
hPGLU,si6012,100nM,B2,1st,0.167515127
hPGLU,si6190,100nM,B2,1st,0.031692277
hPGLU,siControl,siLuc,B1,1st,0.039841195
hPGLU,si6012,10nM,B1,1st,0.060599355
hPGLU,si6012,100nM,B1,1st,0.01602655
hPGLU,si6190,10nM,B1,1st,0.03090982
hPGLU,si6190,100nM,B1,1st,0.019263929
hPGLU,si6001,100nM,B1,1st,0.033503293
KRT7,siControl,siALDH2,B2,1st,
KRT7,si6001,100nM,B2,1st,0.000803664
KRT7,si6001,100nM,B2,1st,0.001640345
KRT7,si6012,100nM,B2,1st,0.000513779
KRT7,si6012,100nM,B2,1st,
KRT7,si6190,100nM,B2,1st,0.000410984
KRT7,siControl,siLuc,B1,1st,0.039455611
KRT7,si6012,10nM,B1,1st,0.092010687
KRT7,si6012,100nM,B1,1st,0.457979798
KRT7,si6190,10nM,B1,1st,0.162420293
KRT7,si6190,100nM,B1,1st,0.077109831
KRT7,si6001,100nM,B1,1st,0.169827558
